T_out,T_in_init,T_set,tau,COP,t_critical,E_at_critical,iterations,converged
34,32,22,2,3.0,1.2116,9.6,13,True
34,32,22,2,3.3,1.2116,8.7273,13,True
34,32,22,2,3.6,1.2116,8.0,13,True
34,32,22,2,4.0,1.2116,7.2,13,True
34,32,22,4,2.6,2.4252,11.0769,13,True
34,32,22,4,3.0,2.4252,9.6,13,True
34,32,22,4,3.3,2.4252,8.7273,13,True
34,32,22,4,3.6,2.4252,8.0,13,True
34,32,22,4,4.0,2.4252,7.2,13,True
34,32,22,6,2.6,3.6389,11.0769,13,True
34,32,22,6,3.0,3.6389,9.6,13,True
34,32,22,6,3.3,3.6389,8.7273,13,True
34,32,22,6,3.6,3.6389,8.0,13,True
34,32,22,6,4.0,3.6389,7.2,13,True
34,32,22,9,2.6,5.4536,11.0769,13,True
34,32,22,9,3.0,5.4536,9.6,13,True
34,32,22,9,3.3,5.4536,8.7273,13,True
34,32,22,9,3.6,5.4536,8.0,13,True
34,32,22,9,4.0,5.4536,7.2,13,True
34,32,22,12,2.6,7.2741,11.0769,13,True
34,32,22,12,3.0,7.2741,9.6,13,True
34,32,22,12,3.3,7.2741,8.7273,13,True
34,32,22,12,3.6,7.2741,8.0,13,True
34,32,22,12,4.0,7.2741,7.2,13,True
34,32,24,2,2.6,1.1882,9.2308,13,True
34,32,24,2,3.0,1.1882,8.0,13,True
34,32,24,2,3.3,1.1882,7.2727,13,True
34,32,24,2,3.6,1.1882,6.6667,13,True
34,32,24,2,4.0,1.1882,6.0,13,True
34,32,24,4,2.6,2.3727,9.2308,13,True
34,32,24,4,3.0,2.3727,8.0,13,True
34,32,24,4,3.3,2.3727,7.2727,13,True
34,32,24,4,3.6,2.3727,6.6667,13,True
34,32,24,4,4.0,2.3727,6.0,13,True
34,32,24,6,2.6,3.5572,9.2308,13,True
34,32,24,6,3.0,3.5572,8.0,13,True
34,32,24,6,3.3,3.5572,7.2727,13,True
34,32,24,6,3.6,3.5572,6.6667,13,True
34,32,24,6,4.0,3.5572,6.0,13,True
34,32,24,9,2.6,5.3369,9.2308,13,True
34,32,24,9,3.0,5.3369,8.0,13,True
34,32,24,9,3.3,5.3369,7.2727,13,True
34,32,24,9,3.6,5.3369,6.6667,13,True
34,32,24,9,4.0,5.3369,6.0,13,True
34,32,24,12,2.6,7.1165,9.2308,13,True
34,32,24,12,3.0,7.1165,8.0,13,True
34,32,24,12,3.3,7.1165,7.2727,13,True
34,32,24,12,3.6,7.1165,6.6667,13,True
34,32,24,12,4.0,7.1165,6.0,13,True
34,32,26,2,2.6,1.1474,7.3846,13,True
34,32,26,2,3.0,1.1474,6.4,13,True
34,32,26,2,3.3,1.1474,5.8182,13,True
34,32,26,2,3.6,1.1474,5.3333,13,True
34,32,26,2,4.0,1.1474,4.8,13,True
34,32,26,4,2.6,2.291,7.3846,13,True
34,32,26,4,3.0,2.291,6.4,13,True
34,32,26,4,3.3,2.291,5.8182,13,True
34,32,26,4,3.6,2.291,5.3333,13,True
34,32,26,4,4.0,2.291,4.8,13,True
34,32,26,6,2.6,3.4347,7.3846,13,True
34,32,26,6,3.0,3.4347,6.4,13,True
34,32,26,6,3.3,3.4347,5.8182,13,True
34,32,26,6,3.6,3.4347,5.3333,13,True
34,32,26,6,4.0,3.4347,4.8,13,True
34,32,26,9,2.6,5.156,7.3846,13,True
34,32,26,9,3.0,5.156,6.4,13,True
34,32,26,9,3.3,5.156,5.8182,13,True
34,32,26,9,3.6,5.156,5.3333,13,True
34,32,26,9,4.0,5.156,4.8,13,True
34,32,26,12,2.6,6.8715,7.3846,13,True
34,32,26,12,3.0,6.8715,6.4,13,True
34,32,26,12,3.3,6.8715,5.8182,13,True
34,32,26,12,3.6,6.8715,5.3333,13,True
34,32,26,12,4.0,6.8715,4.8,13,True
36,34,22,2,2.6,1.2291,12.9231,13,True
36,34,22,2,3.0,1.2291,11.2,13,True
36,34,22,2,3.3,1.2291,10.1818,13,True
36,34,22,2,3.6,1.2291,9.3333,13,True
36,34,22,2,4.0,1.2291,8.4,13,True
36,34,22,4,2.6,2.4602,12.9231,13,True
36,34,22,4,3.0,2.4602,11.2,13,True
36,34,22,4,3.3,2.4602,10.1818,13,True
36,34,22,4,3.6,2.4602,9.3333,13,True
36,34,22,4,4.0,2.4602,8.4,13,True
36,34,22,6,2.6,3.6914,12.9231,13,True
36,34,22,6,3.0,3.6914,11.2,13,True
36,34,22,6,3.3,3.6914,10.1818,13,True
36,34,22,6,3.6,3.6914,9.3333,13,True
36,34,22,6,4.0,3.6914,8.4,13,True
36,34,22,9,2.6,5.5353,12.9231,13,True
36,34,22,9,3.0,5.5353,11.2,13,True
36,34,22,9,3.3,5.5353,10.1818,13,True
36,34,22,9,3.6,5.5353,9.3333,13,True
36,34,22,9,4.0,5.5353,8.4,13,True
36,34,22,12,2.6,7.3849,12.9231,13,True
36,34,22,12,3.0,7.3849,11.2,13,True
36,34,22,12,3.3,7.3849,10.1818,13,True
36,34,22,12,3.6,7.3849,9.3333,13,True
36,34,22,12,4.0,7.3849,8.4,13,True
36,34,24,2,2.6,1.2116,11.0769,13,True
36,34,24,2,3.0,1.2116,9.6,13,True
36,34,24,2,3.3,1.2116,8.7273,13,True
36,34,24,2,3.6,1.2116,8.0,13,True
36,34,24,2,4.0,1.2116,7.2,13,True
36,34,24,4,2.6,2.4252,11.0769,13,True
36,34,24,4,3.0,2.4252,9.6,13,True
36,34,24,4,3.3,2.4252,8.7273,13,True
36,34,24,4,3.6,2.4252,8.0,13,True
36,34,24,4,4.0,2.4252,7.2,13,True
36,34,24,6,2.6,3.6389,11.0769,13,True
36,34,24,6,3.0,3.6389,9.6,13,True
36,34,24,6,3.3,3.6389,8.7273,13,True
36,34,24,6,3.6,3.6389,8.0,13,True
36,34,24,6,4.0,3.6389,7.2,13,True
36,34,24,9,2.6,5.4536,11.0769,13,True
36,34,24,9,3.0,5.4536,9.6,13,True
36,34,24,9,3.3,5.4536,8.7273,13,True
36,34,24,9,3.6,5.4536,8.0,13,True
36,34,24,9,4.0,5.4536,7.2,13,True
36,34,24,12,2.6,7.2741,11.0769,13,True
36,34,24,12,3.0,7.2741,9.6,13,True
36,34,24,12,3.3,7.2741,8.7273,13,True
36,34,24,12,3.6,7.2741,8.0,13,True
36,34,24,12,4.0,7.2741,7.2,13,True
36,34,26,2,2.6,1.1882,9.2308,13,True
36,34,26,2,3.0,1.1882,8.0,13,True
36,34,26,2,3.3,1.1882,7.2727,13,True
36,34,26,2,3.6,1.1882,6.6667,13,True
36,34,26,2,4.0,1.1882,6.0,13,True
36,34,26,4,2.6,2.3727,9.2308,13,True
36,34,26,4,3.0,2.3727,8.0,13,True
36,34,26,4,3.3,2.3727,7.2727,13,True
36,34,26,4,3.6,2.3727,6.6667,13,True
36,34,26,4,4.0,2.3727,6.0,13,True
36,34,26,6,2.6,3.5572,9.2308,13,True
36,34,26,6,3.0,3.5572,8.0,13,True
36,34,26,6,3.3,3.5572,7.2727,13,True
36,34,26,6,3.6,3.5572,6.6667,13,True
36,34,26,6,4.0,3.5572,6.0,13,True
36,34,26,9,2.6,5.3369,9.2308,13,True
36,34,26,9,3.0,5.3369,8.0,13,True
36,34,26,9,3.3,5.3369,7.2727,13,True
36,34,26,9,3.6,5.3369,6.6667,13,True
36,34,26,9,4.0,5.3369,6.0,13,True
36,34,26,12,2.6,7.1165,9.2308,13,True
36,34,26,12,3.0,7.1165,8.0,13,True
36,34,26,12,3.3,7.1165,7.2727,13,True
36,34,26,12,3.6,7.1165,6.6667,13,True
36,34,26,12,4.0,7.1165,6.0,13,True
38,36,22,2,2.6,1.2466,14.7692,13,True
38,36,22,2,3.0,1.2466,12.8,13,True
38,36,22,2,3.3,1.2466,11.6364,13,True
38,36,22,2,3.6,1.2466,10.6667,13,True
38,36,22,2,4.0,1.2466,9.6,13,True
38,36,22,4,2.6,2.4894,14.7692,13,True
38,36,22,4,3.0,2.4894,12.8,13,True
38,36,22,4,3.3,2.4894,11.6364,13,True
38,36,22,4,3.6,2.4894,10.6667,13,True
38,36,22,4,4.0,2.4894,9.6,13,True
38,36,22,6,2.6,3.7323,14.7692,13,True
38,36,22,6,3.0,3.7323,12.8,13,True
38,36,22,6,3.3,3.7323,11.6364,13,True
38,36,22,6,3.6,3.7323,10.6667,13,True
38,36,22,6,4.0,3.7323,9.6,13,True
38,36,22,9,2.6,5.5995,14.7692,13,True
38,36,22,9,3.0,5.5995,12.8,13,True
38,36,22,9,3.3,5.5995,11.6364,13,True
38,36,22,9,3.6,5.5995,10.6667,13,True
38,36,22,9,4.0,5.5995,9.6,13,True
38,36,22,12,2.6,7.4608,14.7692,13,True
38,36,22,12,3.0,7.4608,12.8,13,True
38,36,22,12,3.3,7.4608,11.6364,13,True
38,36,22,12,3.6,7.4608,10.6667,13,True
38,36,22,12,4.0,7.4608,9.6,13,True
38,36,24,2,2.6,1.2291,12.9231,13,True
38,36,24,2,3.0,1.2291,11.2,13,True
38,36,24,2,3.3,1.2291,10.1818,13,True
38,36,24,2,3.6,1.2291,9.3333,13,True
38,36,24,2,4.0,1.2291,8.4,13,True
38,36,24,4,2.6,2.4602,12.9231,13,True
38,36,24,4,3.0,2.4602,11.2,13,True
38,36,24,4,3.3,2.4602,10.1818,13,True
38,36,24,4,3.6,2.4602,9.3333,13,True
38,36,24,4,4.0,2.4602,8.4,13,True
38,36,24,6,2.6,3.6914,12.9231,13,True
38,36,24,6,3.0,3.6914,11.2,13,True
38,36,24,6,3.3,3.6914,10.1818,13,True
38,36,24,6,3.6,3.6914,9.3333,13,True
38,36,24,6,4.0,3.6914,8.4,13,True
38,36,24,9,2.6,5.5353,12.9231,13,True
38,36,24,9,3.0,5.5353,11.2,13,True
38,36,24,9,3.3,5.5353,10.1818,13,True
38,36,24,9,3.6,5.5353,9.3333,13,True
38,36,24,9,4.0,5.5353,8.4,13,True
38,36,24,12,2.6,7.3849,12.9231,13,True
38,36,24,12,3.0,7.3849,11.2,13,True
38,36,24,12,3.3,7.3849,10.1818,13,True
38,36,24,12,3.6,7.3849,9.3333,13,True
38,36,24,12,4.0,7.3849,8.4,13,True
38,36,26,2,2.6,1.2116,11.0769,13,True
38,36,26,2,3.0,1.2116,9.6,13,True
38,36,26,2,3.3,1.2116,8.7273,13,True
38,36,26,2,3.6,1.2116,8.0,13,True
38,36,26,2,4.0,1.2116,7.2,13,True
38,36,26,4,2.6,2.4252,11.0769,13,True
38,36,26,4,3.0,2.4252,9.6,13,True
38,36,26,4,3.3,2.4252,8.7273,13,True
38,36,26,4,3.6,2.4252,8.0,13,True
38,36,26,4,4.0,2.4252,7.2,13,True
38,36,26,6,2.6,3.6389,11.0769,13,True
38,36,26,6,3.0,3.6389,9.6,13,True
38,36,26,6,3.3,3.6389,8.7273,13,True
38,36,26,6,3.6,3.6389,8.0,13,True
38,36,26,6,4.0,3.6389,7.2,13,True
38,36,26,9,2.6,5.4536,11.0769,13,True
38,36,26,9,3.0,5.4536,9.6,13,True
38,36,26,9,3.3,5.4536,8.7273,13,True
38,36,26,9,3.6,5.4536,8.0,13,True
38,36,26,9,4.0,5.4536,7.2,13,True
38,36,26,12,2.6,7.2741,11.0769,13,True
38,36,26,12,3.0,7.2741,9.6,13,True
38,36,26,12,3.3,7.2741,8.7273,13,True
38,36,26,12,3.6,7.2741,8.0,13,True
38,36,26,12,4.0,7.2741,7.2,13,True
40,38,22,2,2.6,1.2524,16.6154,13,True
40,38,22,2,3.0,1.2524,14.4,13,True
40,38,22,2,3.3,1.2524,13.0909,13,True
40,38,22,2,3.6,1.2524,12.0,13,True
40,38,22,2,4.0,1.2524,10.8,13,True
40,38,22,4,2.6,2.5069,16.6154,13,True
40,38,22,4,3.0,2.5069,14.4,13,True
40,38,22,4,3.3,2.5069,13.0909,13,True
40,38,22,4,3.6,2.5069,12.0,13,True
40,38,22,4,4.0,2.5069,10.8,13,True
40,38,22,6,2.6,3.7614,16.6154,13,True
40,38,22,6,3.0,3.7614,14.4,13,True
40,38,22,6,3.3,3.7614,13.0909,13,True
40,38,22,6,3.6,3.7614,12.0,13,True
40,38,22,6,4.0,3.7614,10.8,13,True
40,38,22,9,2.6,5.6461,16.6154,13,True
40,38,22,9,3.0,5.6461,14.4,13,True
40,38,22,9,3.3,5.6461,13.0909,13,True
40,38,22,9,3.6,5.6461,12.0,13,True
40,38,22,9,4.0,5.6461,10.8,13,True
40,38,22,12,2.6,7.525,16.6154,13,True
40,38,22,12,3.0,7.525,14.4,13,True
40,38,22,12,3.3,7.525,13.0909,13,True
40,38,22,12,3.6,7.525,12.0,13,True
40,38,22,12,4.0,7.525,10.8,13,True
40,38,24,2,2.6,1.2466,14.7692,13,True
40,38,24,2,3.0,1.2466,12.8,13,True
40,38,24,2,3.3,1.2466,11.6364,13,True
40,38,24,2,3.6,1.2466,10.6667,13,True
40,38,24,2,4.0,1.2466,9.6,13,True
40,38,24,4,2.6,2.4894,14.7692,13,True
40,38,24,4,3.0,2.4894,12.8,13,True
40,38,24,4,3.3,2.4894,11.6364,13,True
40,38,24,4,3.6,2.4894,10.6667,13,True
40,38,24,4,4.0,2.4894,9.6,13,True
40,38,24,6,2.6,3.7323,14.7692,13,True
40,38,24,6,3.0,3.7323,12.8,13,True
40,38,24,6,3.3,3.7323,11.6364,13,True
40,38,24,6,3.6,3.7323,10.6667,13,True
40,38,24,6,4.0,3.7323,9.6,13,True
40,38,24,9,2.6,5.5995,14.7692,13,True
40,38,24,9,3.0,5.5995,12.8,13,True
40,38,24,9,3.3,5.5995,11.6364,13,True
40,38,24,9,3.6,5.5995,10.6667,13,True
40,38,24,9,4.0,5.5995,9.6,13,True
40,38,24,12,2.6,7.4608,14.7692,13,True
40,38,24,12,3.0,7.4608,12.8,13,True
40,38,24,12,3.3,7.4608,11.6364,13,True
40,38,24,12,3.6,7.4608,10.6667,13,True
40,38,24,12,4.0,7.4608,9.6,13,True
40,38,26,2,2.6,1.2291,12.9231,13,True
40,38,26,2,3.0,1.2291,11.2,13,True
40,38,26,2,3.3,1.2291,10.1818,13,True
40,38,26,2,3.6,1.2291,9.3333,13,True
40,38,26,2,4.0,1.2291,8.4,13,True
40,38,26,4,2.6,2.4602,12.9231,13,True
40,38,26,4,3.0,2.4602,11.2,13,True
40,38,26,4,3.3,2.4602,10.1818,13,True
40,38,26,4,3.6,2.4602,9.3333,13,True
40,38,26,4,4.0,2.4602,8.4,13,True
40,38,26,6,2.6,3.6914,12.9231,13,True
40,38,26,6,3.0,3.6914,11.2,13,True
40,38,26,6,3.3,3.6914,10.1818,13,True
40,38,26,6,3.6,3.6914,9.3333,13,True
40,38,26,6,4.0,3.6914,8.4,13,True
40,38,26,9,2.6,5.5353,12.9231,13,True
40,38,26,9,3.0,5.5353,11.2,13,True
40,38,26,9,3.3,5.5353,10.1818,13,True
40,38,26,9,3.6,5.5353,9.3333,13,True
40,38,26,9,4.0,5.5353,8.4,13,True
40,38,26,12,2.6,7.3849,12.9231,13,True
40,38,26,12,3.0,7.3849,11.2,13,True
40,38,26,12,3.3,7.3849,10.1818,13,True
40,38,26,12,3.6,7.3849,9.3333,13,True
40,38,26,12,4.0,7.3849,8.4,13,True
